subportadora[0], 0x0000,
subportadora[1], 0x077D,
subportadora[2], 0x0C25,
subportadora[3], 0x0C36,
subportadora[4], 0x07A8,
subportadora[5], 0x0035,
subportadora[6], 0xF8AF,
subportadora[7], 0xF3EC,
subportadora[8], 0xF3BB,
subportadora[9], 0xF82D,
subportadora[10], 0xFF95,
subportadora[11], 0x0725,
subportadora[12], 0x0C02,
subportadora[13], 0x0C54,
subportadora[14], 0x07FD,
subportadora[15], 0x00A0,
subportadora[16], 0xF908,
subportadora[17], 0xF411,
subportadora[18], 0xF39E,
subportadora[19], 0xF7D9,
subportadora[20], 0xFF2A,
subportadora[21], 0x06CB,
subportadora[22], 0x0BDB,
subportadora[23], 0x0C6F,
subportadora[24], 0x0850,
subportadora[25], 0x010B,
subportadora[26], 0xF963,
subportadora[27], 0xF43A,
subportadora[28], 0xF385,
subportadora[29], 0xF788,
subportadora[30], 0xFEBF,
subportadora[31], 0x066F,
subportadora[32], 0x0BB1,
subportadora[33], 0x0C87,
subportadora[34], 0x08A0,
subportadora[35], 0x0176,
subportadora[36], 0xF9BF,
subportadora[37], 0xF465,
subportadora[38], 0xF36F,
subportadora[39], 0xF739,
subportadora[40], 0xFE55,
subportadora[41], 0x0612,
subportadora[42], 0x0B84,
subportadora[43], 0x0C9B,
subportadora[44], 0x08EE,
subportadora[45], 0x01E0,
subportadora[46], 0xFA1E,
subportadora[47], 0xF494,
subportadora[48], 0xF35C,
subportadora[49], 0xF6EC,
subportadora[50], 0xFDEB,
subportadora[51], 0x05B2,
subportadora[52], 0x0B53,
subportadora[53], 0x0CAC,
subportadora[54], 0x093A,
subportadora[55], 0x024A,
subportadora[56], 0xFA7E,
subportadora[57], 0xF4C6,
subportadora[58], 0xF34D,
subportadora[59], 0xF6A2,
subportadora[60], 0xFD81,
subportadora[61], 0x0552,
subportadora[62], 0x0B20,
subportadora[63], 0x0CB9,
subportadora[64], 0x0983,
subportadora[65], 0x02B3,
subportadora[66], 0xFADF,
subportadora[67], 0xF4FB,
subportadora[68], 0xF341,
subportadora[69], 0xF65A,
subportadora[70], 0xFD18,
subportadora[71], 0x04EF,
subportadora[72], 0x0AE9,
subportadora[73], 0x0CC3,
subportadora[74], 0x09C9,
subportadora[75], 0x031C,
subportadora[76], 0xFB42,
subportadora[77], 0xF533,
subportadora[78], 0xF339,
subportadora[79], 0xF615,
subportadora[80], 0xFCB0,
subportadora[81], 0x048C,
subportadora[82], 0x0AB0,
subportadora[83], 0x0CC9,
subportadora[84], 0x0A0D,
subportadora[85], 0x0383,
subportadora[86], 0xFBA6,
subportadora[87], 0xF56E,
subportadora[88], 0xF335,
subportadora[89], 0xF5D2,
subportadora[90], 0xFC49,
subportadora[91], 0x0427,
subportadora[92], 0x0A73,
subportadora[93], 0x0CCC,
subportadora[94], 0x0A4E,
subportadora[95], 0x03EA,
subportadora[96], 0xFC0C,
